"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 21:40:25 CST 2022","Tue May 17 21:40:32 CST 2022","7444","testChangePassword","test_Qchange_password","TestChangePassword","","","test_confirmpwd_null",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_buy_all_hold",""
"broken","Tue May 17 21:46:11 CST 2022","Tue May 17 21:46:15 CST 2022","3403","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setlogin_15",""
"passed","Tue May 17 21:48:29 CST 2022","Tue May 17 21:48:31 CST 2022","1558","testFirstPage","test_Qfirst_page","TestClok","","","test_to_trade",""
"passed","Tue May 17 21:48:44 CST 2022","Tue May 17 21:48:47 CST 2022","2862","testFirstPage","test_Qfirst_page","TestClok","","","test_to_wave_index",""
"broken","Tue May 17 21:46:18 CST 2022","Tue May 17 21:46:22 CST 2022","3643","testEntrustSetup","test_Qentrust_setup","TestEntrustSetup","","","test_setlogin_30",""
"broken","Tue May 17 21:48:53 CST 2022","Tue May 17 21:48:53 CST 2022","0","testGp","test_new_Gp","TestGp","","","test_zjxq",""
"passed","Tue May 17 21:47:08 CST 2022","Tue May 17 21:47:10 CST 2022","2149","testExercise","test_Xexercise","TestClok","","","test_ass",""
"broken","Tue May 17 21:43:21 CST 2022","Tue May 17 21:44:10 CST 2022","48860","testContractScreen","test_Qcontract_screen","TestContractScreen","","","test_search_add",""
"broken","Tue May 17 21:56:22 CST 2022","Tue May 17 21:56:33 CST 2022","11154","testSearch","test_Qsearch","TestSearch","","","test_Search_hiscapflow",""
"broken","Tue May 17 21:55:33 CST 2022","Tue May 17 21:55:49 CST 2022","15398","testPosition","test_Qposition","TestPosition","","","test_sort_order",""
"failed","Tue May 17 21:39:17 CST 2022","Tue May 17 21:39:53 CST 2022","35439","testCancelOrder","test_Qcancelorder","TestCancelOrder","","","test_cancel_order_other",""
